Day;Latency;ID;Short_ID;ATF;ColorCode;Velocity;Distance
Day 1;29,5;7223;7223;PSD95-6ZF-VP64;#009E73;6,1243;
Day 1;87;C4A3;C4A3;HTT-NI;#0C7BDC;5,3246;
Day 1;21,3;290219143;9143;PSD95-6ZF-VP64;#009E73;4,8654;
Day 1;24,6;290219416;9416;PSD95-6ZF-VP64;#009E73;3,2456;
Day 1;208;290219699;9699;PSD95-6ZF-NoED;#E69F00;2,0068;
Day 1;251,6;C9A2;C9A2;PSD95-6ZF-NoED;#E69F00;1,9875;
Day 1;66,6;C4A2;C4A2;HTT-NI;#0C7BDC;1,5647;
Day 1;276;289838910;8910;HTT+NI;#994F00;1,564;
Day 1;300;9162;9162;PSD95-6ZF-NoED;#E69F00;1,5326;
Day 1;98,3;C2A3;C2A3;HTT-NI;#0C7BDC;1,368;
Day 1;148,9;287523931;3931;PSD95-6ZF-NoED;#E69F00;1,3564;
Day 1;66,6;9119;9119;HTT-NI;#0C7BDC;1,3253;
Day 1;300;9391;9391;PSD95-6ZF-NoED;#E69F00;1,3253;
Day 1;212;289838791;8791;HTT+NI;#994F00;1,325;
Day 1;232;C9A1;C9A1;HTT+NI;#994F00;1,256;
Day 1;287;289838836;8836;HTT+NI;#994F00;1,254;
Day 1;14,3;C1A0;C1A0;PSD95-6ZF-VP64;#009E73;1,2356;
Day 1;21,3;290219548;9548;PSD95-6ZF-VP64;#009E73;1,2253;
Day 1;300;C3A2;C3A2;HTT+NI;#994F00;0,9985;
Day 1;164;C3A3;C3A3;HTT+NI;#994F00;0,9563;
Day 1;27,1;C2A2;C2A2;R-HTT-NI;error;;
Day 1;150,2;C4A1;C4A1;R-PSD95-6ZF-NoED;error;;
Day 1;157;289836897;6897;R-HTT+NI;error;;
Day 1;300;C3A4;C3A4;R-HTT+NI;error;;
Day 2;4,5;C4A2;C4A2;HTT-NI;#0C7BDC;;
Day 2;5,9;290219548;9548;PSD95-6ZF-VP64;#009E73;;
Day 2;5,9;C1A0;C1A0;PSD95-6ZF-VP64;#009E73;;
Day 2;15,6;C4A3;C4A3;HTT-NI;#0C7BDC;;
Day 2;18;7223;7223;PSD95-6ZF-VP64;#009E73;;
Day 2;28,3;C3A4;C3A4;R-HTT+NI;error;;
Day 2;29;C2A3;C2A3;HTT-NI;#0C7BDC;;
Day 2;34,5;290219143;9143;PSD95-6ZF-VP64;#009E73;;
Day 2;37;C3A3;C3A3;HTT+NI;#994F00;;
Day 2;38;290219416;9416;PSD95-6ZF-VP64;#009E73;;
Day 2;42;287523931;3931;PSD95-6ZF-NoED;#E69F00;;
Day 2;59,6;C4A1;C4A1;R-PSD95-6ZF-NoED;error;;
Day 2;64,4;C9A2;C9A2;PSD95-6ZF-NoED;#E69F00;;
Day 2;91,8;9119;9119;HTT-NI;#0C7BDC;;
Day 2;104;9391;9391;PSD95-6ZF-NoED;#E69F00;;
Day 2;106;289838836;8836;HTT+NI;#994F00;;
Day 2;119;290219699;9699;PSD95-6ZF-NoED;#E69F00;;
Day 2;125;289838791;8791;HTT+NI;#994F00;;
Day 2;139;C2A2;C2A2;R-HTT-NI;error;;
Day 2;159;289838910;8910;HTT+NI;#994F00;;
Day 2;161;289836897;6897;R-HTT+NI;error;;
Day 2;174;C3A2;C3A2;HTT+NI;#994F00;;
Day 2;183,1;9162;9162;PSD95-6ZF-NoED;#E69F00;;
Day 2;205;C9A1;C9A1;HTT+NI;#994F00;;
Day 3;13,6;9391;9391;PSD95-6ZF-NoED;#E69F00;;
Day 3;13,8;290219548;9548;PSD95-6ZF-VP64;#009E73;;
Day 3;13,8;C1A0;C1A0;PSD95-6ZF-VP64;#009E73;;
Day 3;15,7;290219416;9416;PSD95-6ZF-VP64;#009E73;;
Day 3;17,4;C4A2;C4A2;HTT-NI;#0C7BDC;;
Day 3;20;9119;9119;HTT-NI;#0C7BDC;;
Day 3;36,5;C4A3;C4A3;HTT-NI;#0C7BDC;;
Day 3;45,9;290219143;9143;PSD95-6ZF-VP64;#009E73;;
Day 3;46;C9A2;C9A2;PSD95-6ZF-NoED;#E69F00;;
Day 3;46,9;C2A3;C2A3;HTT-NI;#0C7BDC;;
Day 3;49,7;7223;7223;PSD95-6ZF-VP64;#009E73;;
Day 3;50,5;290219699;9699;PSD95-6ZF-NoED;#E69F00;;
Day 3;82;C3A2;C3A2;HTT+NI;#994F00;;
Day 3;90,9;C3A4;C3A4;R-HTT+NI;error;;
Day 3;101;C9A1;C9A1;HTT+NI;#994F00;;
Day 3;103,5;C2A2;C2A2;R-HTT-NI;error;;
Day 3;133;C3A3;C3A3;HTT+NI;#994F00;;
Day 3;141,3;287523931;3931;PSD95-6ZF-NoED;#E69F00;;
Day 3;142,7;9162;9162;PSD95-6ZF-NoED;#E69F00;;
Day 3;147;289838836;8836;HTT+NI;#994F00;;
Day 3;155;289838791;8791;HTT+NI;#994F00;;
Day 3;155,9;C4A1;C4A1;R-PSD95-6ZF-NoED;error;;
Day 3;173;289838910;8910;HTT+NI;#994F00;;
Day 3;261;289836897;6897;R-HTT+NI;error;;
Day 4;4,4;290219548;9548;PSD95-6ZF-VP64;#009E73;;
Day 4;4,4;C1A0;C1A0;PSD95-6ZF-VP64;#009E73;;
Day 4;5,9;C4A3;C4A3;HTT-NI;#0C7BDC;;
Day 4;10,8;C4A2;C4A2;HTT-NI;#0C7BDC;;
Day 4;18,5;290219416;9416;PSD95-6ZF-VP64;#009E73;;
Day 4;20,8;290219699;9699;PSD95-6ZF-NoED;#E69F00;;
Day 4;28;9119;9119;HTT-NI;#0C7BDC;;
Day 4;28,2;C2A2;C2A2;R-HTT-NI;error;;
Day 4;29,6;C2A3;C2A3;HTT-NI;#0C7BDC;;
Day 4;29,9;7223;7223;PSD95-6ZF-VP64;#009E73;;
Day 4;43,7;290219143;9143;PSD95-6ZF-VP64;#009E73;;
Day 4;61,6;287523931;3931;PSD95-6ZF-NoED;#E69F00;;
Day 4;74,4;C3A4;C3A4;R-HTT+NI;error;;
Day 4;75;C3A3;C3A3;HTT+NI;#994F00;;
Day 4;83;289838791;8791;HTT+NI;#994F00;;
Day 4;85,6;9391;9391;PSD95-6ZF-NoED;#E69F00;;
Day 4;86;C3A2;C3A2;HTT+NI;#994F00;;
Day 4;92;C9A1;C9A1;HTT+NI;#994F00;;
Day 4;93;289838910;8910;HTT+NI;#994F00;;
Day 4;125,3;C9A2;C9A2;PSD95-6ZF-NoED;#E69F00;;
Day 4;126;289838836;8836;HTT+NI;#994F00;;
Day 4;133,3;9162;9162;PSD95-6ZF-NoED;#E69F00;;
Day 4;211;289836897;6897;R-HTT+NI;error;;
Day 4;230,3;C4A1;C4A1;R-PSD95-6ZF-NoED;error;;
Day 5;42,8;7223;7223;PSD95-6ZF-VP64;#009E73;6,4121;
Day 5;12,2;290219416;9416;PSD95-6ZF-VP64;#009E73;6,2388;
Day 5;10;290219143;9143;PSD95-6ZF-VP64;#009E73;5,5796;
Day 5;5,2;C4A3;C4A3;HTT-NI;#0C7BDC;4,2706;
Day 5;9,6;9119;9119;HTT-NI;#0C7BDC;2,5876;
Day 5;123,1;C9A2;C9A2;PSD95-6ZF-NoED;#E69F00;2,4281;
Day 5;117;290219699;9699;PSD95-6ZF-NoED;#E69F00;2,3162;
Day 5;5,8;C4A2;C4A2;HTT-NI;#0C7BDC;2,1459;
Day 5;4,5;C1A0;C1A0;PSD95-6ZF-VP64;#009E73;2,0891;
Day 5;124,5;9162;9162;PSD95-6ZF-NoED;#E69F00;1,9129;
Day 5;4,5;290219548;9548;PSD95-6ZF-VP64;#009E73;1,8857;
Day 5;25;C2A3;C2A3;HTT-NI;#0C7BDC;1,1344;
Day 5;170,1;287523931;3931;PSD95-6ZF-NoED;#E69F00;1,0707;
Day 5;128;289838791;8791;HTT+NI;#994F00;1,0523;
Day 5;130,7;9391;9391;PSD95-6ZF-NoED;#E69F00;1,0004;
Day 5;147;C9A1;C9A1;HTT+NI;#994F00;0,9943;
Day 5;158;289838836;8836;HTT+NI;#994F00;0,8313;
Day 5;118;C3A3;C3A3;HTT+NI;#994F00;0,8236;
Day 5;112;289838910;8910;HTT+NI;#994F00;0,7934;
Day 5;80;C3A2;C3A2;HTT+NI;#994F00;0,5088;
Day 5;8,4;C2A2;C2A2;R-HTT-NI;error;;
Day 5;111;289836897;6897;R-HTT+NI;error;;
Day 5;116,8;C3A4;C3A4;R-HTT+NI;error;;
Day 5;230,3;C4A1;C4A1;R-PSD95-6ZF-NoED;error;;
Day 7;167;289838836;8836;HTT+NI;#994F00;1,0472;252,0569
Day 7;155;C9A1;C9A1;HTT+NI;#994F00;0,9954;93,2006
Day 7;150;289838910;8910;HTT+NI;#994F00;0,86;283,8165
Day 7;146;289838791;8791;HTT+NI;#994F00;0,8157;208,7929
Day 7;93;C3A3;C3A3;HTT+NI;#994F00;0,653;276,265
Day 7;88;C3A2;C3A2;HTT+NI;#994F00;0,6308;302,253
Day 7;3;C4A3;C4A3;HTT-NI;#0C7BDC;4,2485;93,4669
Day 7;7,3;C4A2;C4A2;HTT-NI;#0C7BDC;1,7344;535,9436
Day 7;11,3;C2A3;C2A3;HTT-NI;#0C7BDC;1,5758;53,578
Day 7;13,3;9119;9119;HTT-NI;#0C7BDC;1,5696;517,9522
Day 7;89,8;C9A2;C9A2;PSD95-6ZF-NoED;#E69F00;3,2311;252,0569
Day 7;114;290219699;9699;PSD95-6ZF-NoED;#E69F00;2,1298;91,5807
Day 7;145,5;9391;9391;PSD95-6ZF-NoED;#E69F00;2,0165;265,4298
Day 7;173,1;9162;9162;PSD95-6ZF-NoED;#E69F00;1,4018;388,7
Day 7;163;287523931;3931;PSD95-6ZF-NoED;#E69F00;1,1779;262,5847
Day 7;43,3;7223;7223;PSD95-6ZF-VP64;#009E73;8,8432;235,9976
Day 7;17,7;290219143;9143;PSD95-6ZF-VP64;#009E73;7,0338;594,4277
Day 7;6,3;290219548;9548;PSD95-6ZF-VP64;#009E73;2,1071;449,1592
Day 7;18,3;290219416;9416;PSD95-6ZF-VP64;#009E73;1,97;337,7071
Day 7;6,3;C1A0;C1A0;PSD95-6ZF-VP64;#009E73;1,8991;225,1973
Day 7;48,4;C3A4;C3A4;R-HTT+NI;error;;
Day 7;300;289836897;6897;R-HTT+NI;error;;
Day 7;12,7;C2A2;C2A2;R-HTT-NI;error;;
Day 7;206,8;C4A1;C4A1;R-PSD95-6ZF-NoED;error;;
