Short_ID;Day;SHAPE;FIR;ROI_Entry;ROI_Exit;error;H0_Count;Strategy;Latency;Genotyoe;Sex;Virus;ATF;Symbol;ColorCode
C9A2;D1;H0;131;15067;15198;67;2;Mixed;502,2333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A1;D2;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A2;D2;H0;1946;2467;4620;2;3;Serial;82,23333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A3;D2;H0;1345;11629;14734;7;1;Mixed;387,6333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A4;D2;H0;332;6451;6840;4;3;Mixed;215,0333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C9A2;D2;H0;60;3884;3944;15;6;Mixed;129,4666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A1;D3;H0;1079;15701;17254;2;1;Mixed;523,3666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A2;D3;H0;377;5705;6280;14;5;Mixed;190,1666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A3;D3;H0;1262;14500;16465;9;1;Serial;483,3333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A4;D3;H0;1581;1249;2830;1;2;Direct;41,63333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C9A2;D3;H0;92;2806;2898;7;8;Serial;93,53333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A1;D4;H0;410;8736;9176;2;1;Mixed;291,2;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A2;D4;H0;425;4436;4902;6;2;Serial;147,8666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A3;D4;H0;765;7928;8941;13;2;Mixed;264,2666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A4;D4;H0;318;17502;17990;13;1;Serial;583,4;Htt+;Hembra;NI;HTT+NI;21;#994F00
C9A2;D4;H0;68;7490;7558;29;4;Serial;249,6666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A1;D5;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A2;D5;H0;787;11222;12189;8;2;Serial;374,0666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A3;D5;H0;403;13469;13925;15;2;Mixed;448,9666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A4;D5;H0;827;6425;7430;3;3;Serial;214,1666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C9A2;D5;H0;45;7422;7467;14;3;Serial;247,4;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A1;D7;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A2;D7;H0;482;2759;3394;2;2;Mixed;91,96666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A3;D7;H0;1342;4330;6754;4;2;Serial;144,3333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C3A4;D7;H0;211;4410;4653;10;3;Serial;147;Htt+;Hembra;NI;HTT+NI;21;#994F00
C9A2;D7;H0;80;5367;5638;8;4;Serial;178,9;Htt+;Hembra;NI;HTT+NI;21;#994F00
8836;D1;H0;218;216;584;3;7;Mixed;7,2;Htt+;Hembra;NI;HTT+NI;21;#994F00
8836;D2;H0;85;127;302;3;8;Serial;4,233333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
8836;D3;H0;19;1241;1288;15;8;Mixed;41,36666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
8836;D4;H0;99;567;682;11;9;Serial;18,9;Htt+;Hembra;NI;HTT+NI;21;#994F00
8836;D5;H0;235;2300;2689;28;4;Serial;76,66666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C1A1;D1;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NI;HTT+NI;21;#994F00
C1A1;D2;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NI;HTT+NI;21;#994F00
C1A1;D3;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NI;HTT+NI;21;#994F00
C1A1;D4;H0;672;5994;7221;1;2;Direct;199,8;Htt+;Hembra;NI;HTT+NI;21;#994F00
C1A1;D5;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NI;HTT+NI;21;#994F00
C1A1;D7;H0;1039;16638;17999;6;1;Serial;554,6;Htt+;Hembra;NI;HTT+NI;21;#994F00
C2A4;D1;H0;299;1885;2248;3;3;Mixed;62,83333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C2A4;D2;H0;206;2256;2588;6;6;Serial;75,2;Htt+;Hembra;NI;HTT+NI;21;#994F00
C2A4;D3;H0;287;946;1233;4;1;Serial;31,53333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C2A4;D4;H0;132;1099;1301;15;1;Serial;36,63333333;Htt+;Hembra;NI;HTT+NI;21;#994F00
C2A4;D5;H0;201;134;379;1;1;Mixed;4,466666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
C2A4;D7;H0;206;1100;1470;11;1;Mixed;36,66666667;Htt+;Hembra;NI;HTT+NI;21;#994F00
6747;D1;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NI;HTT+NI;21;#994F00
6747;D2;H0;114;3327;3441;15;1;Mixed;110,9;Htt+;Hembra;NI;HTT+NI;21;#994F00
6747;D3;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NI;HTT+NI;21;#994F00
6747;D4;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NI;HTT+NI;21;#994F00
6747;D5;H0;91;123;230;3;3;Serial;4,1;Htt+;Hembra;NI;HTT+NI;21;#994F00
C4A2;D1;H0;278;4545;4840;27;7;Serial;151,5;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A3;D1;H0;1719;10880;12601;23;1;Serial;362,6666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A2;D2;H0;409;2772;3262;4;7;Serial;92,4;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A3;D2;H0;797;17204;18001;10;1;Serial;573,4666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A2;D3;H0;522;2779;3361;4;1;Serial;92,63333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A3;D3;H0;415;10553;11789;8;1;Mixed;351,7666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A2;D4;H0;223;2607;2858;21;4;Mixed;86,9;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A3;D4;NA;0;NA;NA;NA;0;none;600;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A2;D5;H0;135;826;961;2;6;Serial;27,53333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A3;D5;NA;0;NA;NA;NA;0;none;600;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A2;D7;H0;338;105;673;1;3;Direct;3,5;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A3;D7;H0;563;4054;4700;3;1;Serial;135,1333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C1A2;D1;NA;0;NA;NA;NA;0;none;600;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C1A2;D2;H0;285;6139;6506;4;2;Serial;204,6333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C1A2;D3;H0;1193;816;2450;2;1;Mixed;27,2;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C1A2;D4;H0;604;5123;5727;9;1;Mixed;170,7666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C1A2;D5;H0;171;1838;2009;4;1;Serial;61,26666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C1A2;D7;H0;398;853;1259;3;1;Serial;28,43333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A2;D1;H0;62;1633;1695;2;7;Serial;154,4333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A2;D2;H0;394;8316;8875;21;6;Serial;277,2;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A2;D3;H0;243;6169;6589;11;6;Serial;205,6333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A2;D4;H0;129;4100;4322;18;6;Mixed;136,6666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A2;D5;H0;161;2305;2576;5;7;Serial;76,83333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A2;D7;H0;86;753;870;2;5;Serial;25,1;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A3;D1;H0;146;5904;6052;13;5;Serial;196,8;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A3;D2;H0;473;1741;2521;11;5;Serial;58,03333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A3;D3;H0;674;2000;2879;11;1;Serial;66,66666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A3;D4;H0;594;1775;2567;18;1;Serial;59,16666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A3;D5;H0;363;1481;1881;19;1;Serial;49,36666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C2A3;D7;H0;273;671;976;10;1;Serial;22,36666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
9119;D1;H0;11;3712;3723;67;2;Mixed;123,7333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
9119;D2;H0;208;1119;1463;29;10;Serial;37,3;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
9119;D3;H0;144;2538;2750;21;9;Serial;84,6;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
9119;D4;H0;165;1369;1534;10;3;Mixed;45,63333333;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
9119;D5;H0;257;1697;1991;23;4;Mixed;56,56666667;Htt-;Hembra;NI;HTT-NI;21;#0C7BDC
C4A1;D1;H0;645;8845;9575;35;3;Serial;294,8333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A1;D1;H0;940;3684;4680;20;7;Serial;122,8;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A3;D1;H0;268;519;787;1;5;Direct;17,3;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C4A1;D2;H0;759;3581;4518;6;3;Serial;119,3666667;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A1;D2;H0;713;259;1106;2;1;Mixed;8,633333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A3;D2;H0;204;616;949;4;8;Serial;20,53333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C4A1;D3;H0;344;9326;9692;12;3;Serial;310,8666667;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A1;D3;H0;462;1048;1648;4;1;Serial;34,93333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A3;D3;H0;760;3058;3901;17;1;Serial;101,9333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C4A1;D4;H0;368;13789;14321;19;5;Serial;459,6333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A1;D4;H0;146;649;812;6;1;Serial;21,63333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A3;D4;H0;611;1264;1894;9;1;Serial;42,13333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C4A1;D5;H0;422;13691;14151;13;1;Serial;456,3666667;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A1;D5;H0;126;353;481;5;1;Serial;11,76666667;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A3;D5;H0;202;399;615;2;4;Serial;13,3;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C4A1;D7;H0;415;12352;12926;13;3;Serial;411,7333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A1;D7;H0;323;240;648;3;2;Serial;8;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C9A3;D7;H0;26;866;892;5;2;Serial;28,86666667;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
3931;D1;H0;57;2080;2148;9;1;Serial;69,33333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
8930;D1;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
3931;D2;H0;112;606;737;5;1;Mixed;20,2;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
8930;D2;H0;95;4081;4247;11;2;Mixed;136,0333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
3931;D3;H0;153;3148;3335;9;1;Serial;104,9333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
8930;D3;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
3931;D4;H0;127;924;1099;8;1;Mixed;30,8;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
8930;D4;H0;188;763;1576;7;2;Mixed;25,43333333;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
3931;D5;H0;256;1038;1502;6;2;Mixed;34,6;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
8930;D5;H0;111;2216;2355;12;1;Mixed;73,86666667;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
3931;D7;H0;99;2442;2553;10;1;Serial;81,4;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
8930;D7;H0;97;2633;2788;13;2;Mixed;87,76666667;Htt+;Hembra;NoED;PSD95-6ZF-NoED;21;#E69F00
C1A3;D1;H0;813;12604;13797;31;2;Serial;420,1333333;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C1A3;D2;H0;247;349;780;2;4;Mixed;11,63333333;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C1A3;D3;H0;236;831;1202;4;8;Serial;27,7;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C1A3;D4;H0;835;216;1528;1;6;Serial;7,2;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C1A3;D5;H0;138;273;485;1;6;Mixed;9,1;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C1A3;D7;H0;265;366;662;2;7;Serial;12,2;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D1;H0;402;861;1349;1;3;Direct;28,7;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D2;H0;44;5042;5092;4;3;Serial;168,0666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D3;H0;58;4959;5017;2;2;Serial;165,3;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D4;H0;15;1514;1529;3;3;Mixed;50,46666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D5;H0;77;15253;15354;14;1;Mixed;508,4333333;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D7;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D1;H0;16;441;457;16;9;Mixed;14,7;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D1;H0;71;254;343;3;1;Serial;8,466666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D2;H0;35;260;295;6;12;Serial;8,666666667;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D2;H0;91;82;187;2;2;Mixed;2,733333333;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D3;H0;102;1486;1631;11;8;Mixed;49,53333333;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D3;H0;74;545;749;15;2;Serial;18,16666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D4;H0;69;448;519;10;11;Serial;14,93333333;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D4;H0;59;89;157;2;1;Mixed;2,966666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D5;H0;54;1287;1364;14;7;Serial;42,9;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D5;H0;148;2165;2380;37;1;Mixed;72,16666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D7;H0;13;65;80;2;7;Serial;2,166666667;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D7;H0;26;0;26;1;2;Direct;0;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9416;D1;H0;67;3189;3295;39;1;Serial;106,3;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9416;D2;H0;340;3026;3574;30;2;Serial;100,8666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9416;D3;H0;163;1463;1734;9;2;Serial;48,76666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9416;D4;H0;9;1671;1680;6;1;Mixed;55,7;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9416;D5;H0;157;669;851;4;2;Mixed;22,3;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9143;D1;H0;62;1445;1507;22;5;Mixed;48,16666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9143;D2;H0;85;2553;2645;33;14;Mixed;85,1;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9143;D3;H0;229;174;763;4;3;Mixed;5,8;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9143;D4;H0;176;57;262;4;7;Serial;1,9;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9143;D5;H0;572;1160;1972;16;6;Serial;38,66666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9548;D1;H0;78;1071;1154;12;6;Serial;35,7;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9548;D2;H0;108;283;548;6;3;Mixed;9,433333333;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9548;D3;H0;108;134;242;3;5;Serial;4,466666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9548;D4;H0;36;294;330;8;5;Mixed;9,8;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9548;D5;H0;78;101;179;3;6;Serial;3,366666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
7223;D1;H0;89;971;1070;32;8;Serial;32,36666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
7223;D2;H0;100;254;399;4;1;Mixed;8,466666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
7223;D3;H0;94;182;276;4;5;Serial;6,066666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
7223;D4;H0;44;695;739;6;1;Serial;23,16666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
7223;D5;H0;164;168;332;5;1;Serial;5,6;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
