Short_ID;Date;Age;ATF;Ratio;ColorCode
7WK1;44861;7;HTT+NI;0,522752074;#994F00
9320;;7;HTT+NI;0,61138232;#994F00
7221;;7;HTT+NI;0,50858386;#994F00
7222;;7;HTT+NI;0,55998309;#994F00
5472;;7;HTT+NI;0,421;#994F00
6897;44860;14;HTT+NI;0,18493997;#994F00
C3A3;44860;14;HTT+NI;0,225401249;#994F00
8836;44832;14;HTT+NI;0,430427438;#994F00
8791;44846;14;HTT+NI;0,711159212;#994F00
C3A2;44846;14;HTT+NI;0,305093533;#994F00
C3A4;44468;14;HTT+NI;0,804604349;#994F00
8887;44861;7;HTT-NI;1;#0C7BDC
1508;;7;HTT-NI;1;#0C7BDC
9093;;7;HTT-NI;1;#0C7BDC
9983;;7;HTT-NI;1;#0C7BDC
9614;;7;HTT-NI;1;#0C7BDC
9312;44860;14;HTT-NI;1;#0C7BDC
9119;44860;14;HTT-NI;1;#0C7BDC
C2A2;44832;14;HTT-NI;1;#0C7BDC
C4A2;44846;14;HTT-NI;1;#0C7BDC
9423;44846;14;HTT-NI;1;#0C7BDC
C4A3;44468;14;HTT-NI;1;#0C7BDC
9163;44861;7;PSD95-6ZF-NoED;0,59813254;#E69F00
5473;;7;PSD95-6ZF-NoED;0,41612723;#E69F00
9091;;7;PSD95-6ZF-NoED;0,2029946;#E69F00
6362;;7;PSD95-6ZF-NoED;0,30956092;#E69F00
7190;;7;PSD95-6ZF-NoED;0,381;#E69F00
9691;44860;14;PSD95-6ZF-NoED;0,151164786;#E69F00
9391;44860;14;PSD95-6ZF-NoED;0,213623109;#E69F00
C9A2;44832;14;PSD95-6ZF-NoED;0,636150336;#E69F00
C4A1;44846;14;PSD95-6ZF-NoED;0,078369626;#E69F00
C9A0;44846;14;PSD95-6ZF-NoED;0,295636898;#E69F00
9699;44468;14;PSD95-6ZF-NoED;0,604674467;#E69F00
8187;44861;7;PSD95-6ZF-VP64;1,429102041;#009E73
8715;;7;PSD95-6ZF-VP64;1,1081072;#009E73
8966;;7;PSD95-6ZF-VP64;1,45688273;#009E73
6926;;7;PSD95-6ZF-VP64;1,28249497;#009E73
8831;;7;PSD95-6ZF-VP64;0,801;#009E73
9416;44860;14;PSD95-6ZF-VP64;0,725784374;#009E73
9143;44860;14;PSD95-6ZF-VP64;0,715713427;#009E73
C2A1;44832;14;PSD95-6ZF-VP64;1,4295878;#009E73
7800;44846;14;PSD95-6ZF-VP64;1,428005341;#009E73
C1A0;44846;14;PSD95-6ZF-VP64;1,129718108;#009E73
9548;44468;14;PSD95-6ZF-VP64;0,924389904;#009E73
wta;44860;14;HTT-NI;1;#0C7BDC
wtb;44860;14;HTT-NI;1;#0C7BDC
vp64a;44860;14;PSD95-6ZF-VP64;0,80719;#009E73
vp64b;44860;14;PSD95-6ZF-VP64;0,801398092;#009E73
htta;44860;14;HTT+NI;0,370310501;#994F00
httb;44860;14;HTT+NI;0,213494819;#994F00
noeda;44860;14;PSD95-6ZF-NoED;0,490443781;#E69F00
noedb;44860;14;PSD95-6ZF-NoED;0,509529389;#E69F00